"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6","stop_PC5","feasible"
"2541X","2283",52.0541032153245,4.27432718219758,52.0464276462276,4.32210601534733,1,0,36.4,25.5,10.9,0,0,5.2,1.9,3.3,"2533AD","2533A",1
"2283","2541X",52.0464276462276,4.32210601534733,52.0541032153245,4.27432718219758,0,1,35.4,16,19.3,0,0,7,1.2,5.8,"2541AJ","2541A",1
"2546X","2522",52.0607363175907,4.27761287481445,52.0603806984478,4.32727437307002,1,0,27.8,9.1,14.9,3.7,1,5,0.6,4.4,"2533SW","2533S",1
"2522","2546X",52.0603806984478,4.32727437307002,52.0607363175907,4.27761287481445,0,1,22.4,5.7,13.2,3.4,1,4.5,0.4,4.1,"2532CP","2532C",1
"3072","2544H",51.902110213157,4.48910082781826,52.0457978448674,4.26058713725417,0,1,91.6,19.2,61.5,11,2,36.3,1.1,35.2,"2544GA","2544G",1
"2544H","3072",52.0457978448674,4.26058713725417,51.902110213157,4.48910082781826,1,0,92.8,18.9,64.4,9.4,2,36.2,1.1,35.1,"2543AA","2543A",1
"2565","2544M",52.0754314285111,4.2585719682278,52.0396112782528,4.25129396965672,0,1,41.5,21.2,17.2,3.1,1,8.3,1.5,6.8,"2545CG","2545C",1
"2542K","2584",52.0364390701642,4.26312437750577,52.1025819138378,4.2792955317052,1,0,46.8,9.3,31.9,5.6,1,11.9,0.7,11.2,"2543SW","2543S",1
"2542E","2624",52.0358716120214,4.26738012702625,51.9951639454664,4.35577193846277,1,0,60.2,34.2,26,0,0,11.3,2.5,8.8,"-1","-1",1
"2245","2542K",52.1212697387586,4.39936927067405,52.0364390701642,4.26312437750577,0,1,85.2,39.1,39.1,6.9,1,17.9,2.9,15,"2543GB","2543G",1
"2542E","2245",52.0358716120214,4.26738012702625,52.1212697387586,4.39936927067405,1,0,72.6,30.6,39.8,2.3,1,17.7,2.2,15.5,"2543SW","2543S",1
"2909","2533B",51.9141299066694,4.54510425380612,52.0486872890598,4.28410221908171,0,1,106.4,22.9,70.9,12.6,4,40.1,1,39.1,"2545CG","2545C",1
"2544N","2722",52.0342293799336,4.24498616242454,52.0534861981297,4.5131635276735,1,0,72.5,23.9,48.6,0,0,24.5,1.7,22.8,"2544NL","2544N",1
"2544J","2492",52.0450156297235,4.25830282422894,52.0661871645066,4.40916858931185,1,0,51.1,7.6,38,5.4,1,15.4,0.5,14.9,"2544WB","2544W",1
"2543B","2518",52.0408197781465,4.2614617830182,52.0811391704393,4.29422163398023,1,0,39.2,12.4,21.4,5.4,1,7.2,0.9,6.3,"2543BG","2543B",1
"2546T","3171",52.0592568478597,4.27600442135472,51.8549780764941,4.39920958999336,1,0,107.8,25.2,71.7,10.9,3,45,1.6,43.4,"2533SW","2533S",1
"3171","2546T",51.8549780764941,4.39920958999336,52.0592568478597,4.27600442135472,0,1,104.8,27.1,68.8,8.9,2,45.7,1.7,44,"-1","-1",1
"3072","2544E",51.902110213157,4.48910082781826,52.0464828004557,4.25028829153627,0,1,92,22.9,64.4,4.7,1,38.5,1.4,37.1,"2544CX","2544C",1
"2722","2544N",52.0534861981297,4.5131635276735,52.0342293799336,4.24498616242454,0,1,71.4,24.7,46.8,0,0,25.1,1.7,23.4,"2544NL","2544N",1
"2722","2542J",52.0534861981297,4.5131635276735,52.0385335010829,4.25810585554739,0,1,68,20.8,44.2,3.1,1,23.2,1.4,21.8,"2544GH","2544G",1
"2624","2533V",51.9951639454664,4.35577193846277,52.0502735545728,4.28958147252202,0,1,50.8,24.1,26.7,0,0,12.7,1.8,10.9,"2545GM","2545G",1
"2533J","2552",52.0509015842924,4.29388139874333,52.0545866758473,4.2477894574147,1,0,33.5,21.2,12.3,0,0,5.5,1.6,3.9,"2533XV","2533X",1
"2722","2533V",52.0534861981297,4.5131635276735,52.0502735545728,4.28958147252202,0,1,66.6,24.9,38.4,3.3,1,21.1,1.8,19.3,"2531BJ","2531B",1
"2546T","2548",52.0592568478597,4.27600442135472,52.0294425012506,4.29039874619047,1,0,28.2,18.1,10.2,0,0,4.4,1.3,3.1,"2541AE","2541A",1
"2548","2546T",52.0294425012506,4.29039874619047,52.0592568478597,4.27600442135472,0,1,33.5,18.1,10.2,5.2,1,5.6,1.4,4.2,"2545NW","2545N",1
